HJD mag emag
2456507.49557602 13.305 0.011
2456484.67874153 13.305 0.01
2456509.54330404 13.333 0.011
2455806.59149225 13.38 0.013
2456115.59726817 13.343 0.011
2457113.90829559 13.335 0.012
2456527.63701619 13.357 0.012
2456373.87737575 13.337 0.011
2456089.68388841 13.306 0.011
2456197.53362009 13.325 0.011
2456560.54846487 13.343 0.012
2456127.53466249 13.346 0.012
2456195.53998833 13.355 0.012
2456129.66305532 13.33 0.011
2456126.59386375 13.329 0.012
2456102.57052638 13.347 0.012
2456487.7077296 13.35 0.012
2456196.52480044 13.325 0.012
2456461.66384021 13.338 0.011
2457268.51535307 13.36 0.012
2456717.88975518 13.338 0.012
2457274.52131034 13.328 0.011
2456141.60817285 13.359 0.011
2456534.60024225 13.331 0.012
2456094.64573887 13.337 0.012
2456130.6919066 13.316 0.012
2456155.52380353 13.35 0.012
2456367.81714336 13.362 0.012
2456572.53104322 13.322 0.012
2456114.5817467 13.305 0.011
2456112.71944072 13.341 0.012
2456559.50081556 13.34 0.012
2456095.61755661 13.352 0.012
2456370.88031696 13.358 0.012
2456799.65187058 13.348 0.014
2456366.82812411 13.347 0.013
2457241.6781982 13.315 0.013
2456798.81227452 13.321 0.012
2455780.70154508 13.348 0.013
2456144.51074063 13.331 0.013
2456799.62756197 13.407 0.016
2457273.55282982 13.309 0.014
2456507.55927067 13.41 0.015
2456158.68093695 13.414 0.015
2457226.633823 13.337 0.015
2455847.54621465 13.405 0.017
2456770.80960466 13.163 0.015
2456157.565304 13.278 0.014
2456422.9019975 13.362 0.016
2456128.67174937 13.401 0.016
2456365.82303491 13.398 0.03
2456157.67992577 13.379 0.023
