HJD mag emag
2455820.56199467 13.274 0.033
2455839.52441602 13.241 0.033
2456020.78712759 13.249 0.023
2456527.63701619 13.126 0.016
2455824.58287128 13.277 0.034
2456102.57052638 13.313 0.029
2455309.73733315 13.451 0.032
2456461.66384021 13.376 0.033
2455451.57393543 13.223 0.029
2457268.51535307 13.192 0.023
2456141.60817285 13.204 0.021
2456155.52380353 13.169 0.02
2456559.50081556 13.191 0.02
2456366.82812411 13.338 0.034
2456798.81227452 13.214 0.025
2455445.55984062 13.183 0.033
2456507.55927067 13.169 0.026
2457226.633823 13.253 0.033
2456157.565304 13.297 0.03
2456128.67174937 13.133 0.026
