idEstrella Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum periodos flag
7-773 EC 0 0 1 0 0 0 0 0 0 1 1.18146961947687 NonS
7-2663 EC 0 0 1 0 0 0 0 0 0 1 1.59349876495542 NonS
7-3645 CC 1 0 0 0 0 0 0 0 0 1 2.36436098338151 NonS
7-3649 CC 1 0 0 0 0 0 0 0 0 1 2.7100468650897 NonS
7-4105 CC 1 0 0 0 0 0 0 0 0 1 7.86657839325298 NonS
7-4175 LPV 0 0 0 1 0 0 0 0 0 1 165.543358757782 NonS
7-4409 EC 0 0 1 0 0 0 0 0 0 1 1.02279228380533 NonS
7-4535 CC 1 0 0 0 0 0 0 0 0 1 3.61678582990524 NonS
7-4598 EC 0 0 1 0 0 0 0 0 0 1 1.00295251515571 NonS
7-5086 RRab 0 0 0 0 0 0 0 1 0 1 0.484414195559673 Sig
7-7318 CC 1 0 0 0 0 0 0 0 0 1 1.21884862108563 NonS
7-12340 RRab 0 0 0 0 0 0 0 1 0 1 0.051377784129049 OverS
7-16958 EC 0 0 1 0 0 0 0 0 0 1 4.72303840670681 NonS
7-24462 CC 1 0 0 0 0 0 0 0 0 1 1.00141894861877 NonS
7-40945 RRab 0 0 0 0 0 0 0 1 0 1 1.04788478783468 NonS
7-54363 LPV 0 0 0 1 0 0 0 0 0 1 151.137229014618 Sig
7-54624 EC 0 0 1 0 0 0 0 0 0 1 3.16390334491149 NonS
7-58189 EC 0 0 1 0 0 0 0 0 0 1 1.27389753662482 NonS
7-59564 RRab 0 0 0 0 0 0 0 1 0 1 0.0850453638866394 NonS
7-62076 RRab 0 0 0 0 0 0 0 1 0 1 0.257609017594078 NonS
7-68642 RRab 0 0 0 0 0 0 0 1 0 1 0.0406242216062986 OverS
7-70545 CC 1 0 0 0 0 0 0 0 0 1 2.42565923109881 NonS
7-73074 LPV 0 0 0 1 0 0 0 0 0 1 218.309330798892 NonS
7-81974 LPV 0 0 0 1 0 0 0 0 0 1 70.951470271047 NonS
7-83813 EC 0 0 1 0 0 0 0 0 0 1 3.64523928977743 NonS
7-91877 CC 1 0 0 0 0 0 0 0 0 1 1.00041543386148 NonS
7-92771 CC 1 0 0 0 0 0 0 0 0 1 1.02814441506543 NonS
7-93811 EC 0 0 1 0 0 0 0 0 0 1 1.00346474830952 NonS
7-94108 CC 1 0 0 0 0 0 0 0 0 1 1.01173222306387 NonS
7-95090 CC 1 0 0 0 0 0 0 0 0 1 1.00090880142131 NonS
7-96412 CC 1 0 0 0 0 0 0 0 0 1 2.27933176008124 NonS
7-117236 RRab 0 0 0 0 0 0 0 1 0 1 0.123148102384618 NonS
7-126738 RRab 0 0 0 0 0 0 0 1 0 1 0.0215182018792442 NonS
7-131602 CC 1 0 0 0 0 0 0 0 0 1 1.00551892384341 NonS
7-136020 LPV 0 0 0 1 0 0 0 0 0 1 132.178119606381 NonS
7-142113 EC 0 0 1 0 0 0 0 0 0 1 1.07459545811993 NonS
7-142863 RRab 0 0 0 0 0 0 0 1 0 1 0.0202944199928733 NonS
7-147421 CC 1 0 0 0 0 0 0 0 0 1 24.87068325557 NonS
7-150941 EC 0 0 1 0 0 0 0 0 0 1 1.03138266519162 NonS
7-156395 EC 0 0 1 0 0 0 0 0 0 1 11.9803901048173 Sig
7-160501 EC 0 0 1 0 0 0 0 0 0 1 9.31177240374423 NonS
7-161930 RRab 0 0 0 0 0 0 0 1 0 1 0.172017508071269 NonS
7-178702 EC 0 0 1 0 0 0 0 0 0 1 1.00193249100767 NonS
7-179287 RRab 0 0 0 0 0 0 0 1 0 1 0.0311934840076529 NonS
7-190947 EC 0 0 1 0 0 0 0 0 0 1 1.07600436866924 NonS
7-195868 EC 0 0 1 0 0 0 0 0 0 1 1.02814441506543 Sig
7-201442 EC 0 0 1 0 0 0 0 0 0 1 1.12983552454861 NonS
7-202038 EC 0 0 1 0 0 0 0 0 0 1 1.20761154098957 NonS
7-202103 EC 0 0 1 0 0 0 0 0 0 1 36.3848884664821 NonS
7-205335 EC 0 0 1 0 0 0 0 0 0 1 16.9377929068106 NonS
7-210385 EC 0 0 1 0 0 0 0 0 0 1 3.83746870544928 NonS
7-211875 EC 0 0 1 0 0 0 0 0 0 1 2.2226063090385 NonS
7-216216 EC 0 0 1 0 0 0 0 0 0 1 1.25786426196545 NonS
7-218252 CC 1 0 0 0 0 0 0 0 0 1 1.02546136596557 NonS
7-220909 EC 0 0 1 0 0 0 0 0 0 1 16.7930254460687 NonS
7-227331 EC 0 0 1 0 0 0 0 0 0 1 10.3409683010002 NonS
7-230078 CC 1 0 0 0 0 0 0 0 0 1 9.26088736095661 NonS
7-231796 CC 1 0 0 0 0 0 0 0 0 1 1.00036398177417 Sig
7-232528 RRab 0 0 0 0 0 0 0 1 0 1 0.332394514835059 NonS
7-242290 EC 0 0 1 0 0 0 0 0 0 1 1.06665796807276 NonS
7-246630 CC 1 0 0 0 0 0 0 0 0 1 1.02922157003145 NonS
7-255052 EC 0 0 1 0 0 0 0 0 0 1 17.9015831474397 NonS
7-255392 RRab 0 0 0 0 0 0 0 1 0 1 0.03492035658698 NonS
7-258559 CC 1 0 0 0 0 0 0 0 0 1 4.09234101080634 NonS
7-263487 CC 1 0 0 0 0 0 0 0 0 1 16.3731998099169 NonS
7-266239 EC 0 0 1 0 0 0 0 0 0 1 1.15575528070002 NonS
7-272384 EC 0 0 1 0 0 0 0 0 0 1 1.47506304593846 NonS
7-274465 CC 1 0 0 0 0 0 0 0 0 1 1.00106939863268 NonS
7-275242 CC 1 0 0 0 0 0 0 0 0 1 1.20909783211694 NonS
7-276124 CC 1 0 0 0 0 0 0 0 0 1 29.3251339879109 Sig
7-277048 CC 1 0 0 0 0 0 0 0 0 1 1.11608368864822 NonS
7-277925 EC 0 0 1 0 0 0 0 0 0 1 1.7280421962973 NonS
7-280515 CC 1 0 0 0 0 0 0 0 0 1 1.36538149908967 NonS
7-286193 CC 1 0 0 0 0 0 0 0 0 1 1.07641829115434 NonS
7-286757 EC 0 0 1 0 0 0 0 0 0 1 2.79485629756761 NonS
7-292862 EC 0 0 1 0 0 0 0 0 0 1 1.16121984467496 Sig
7-293665 CC 1 0 0 0 0 0 0 0 0 1 3.70015814913377 NonS
7-297668 EC 0 0 1 0 0 0 0 0 0 1 1.95890725542376 NonS
7-297950 RRab 0 0 0 0 0 0 0 1 0 1 0.0864393457753458 NonS
7-300558 EC 0 0 1 0 0 0 0 0 0 1 20.2555049194849 NonS
7-306275 RRab 0 0 0 0 0 0 0 1 0 1 0.0641625310153578 OverS
7-311745 CC 1 0 0 0 0 0 0 0 0 1 1.18574772310805 NonS
7-313264 EC 0 0 1 0 0 0 0 0 0 1 1.00551892384341 NonS
7-316120 CC 1 0 0 0 0 0 0 0 0 1 1.08611607362633 NonS
7-317046 RRab 0 0 0 0 0 0 0 1 0 1 0.0433080107877687 OverS
7-322137 EC 0 0 1 0 0 0 0 0 0 1 1.2692402953424 NonS
7-331469 RRab 0 0 0 0 0 0 0 1 0 1 0.237040909282673 NonS
7-334559 LPV 0 0 0 1 0 0 0 0 0 1 63.3488869893575 NonS
7-335851 CC 1 0 0 0 0 0 0 0 0 1 1.02817110824034 NonS
7-338232 LPV 0 0 0 1 0 0 0 0 0 1 72.166838497594 NonS
7-341621 RCorB 0 0 0 0 0 0 1 0 0 1 0 FALSE
7-342408 CC 1 0 0 0 0 0 0 0 0 1 5.77927517186828 NonS
7-342842 EC 0 0 1 0 0 0 0 0 0 1 6.29738454227575 NonS
7-343246 RRab 0 0 0 0 0 0 0 1 0 1 0.210961619166503 OverS
7-346607 EC 0 0 1 0 0 0 0 0 0 1 1.00039917372201 NonS
7-346691 RRab 0 0 0 0 0 0 0 1 0 1 0.020718794246502 NonS
7-353781 EC 0 0 1 0 0 0 0 0 0 1 98.2391988595016 NonS
7-358019 EC 0 0 1 0 0 0 0 0 0 1 2.2226063090385 NonS
7-364997 CC 1 0 0 0 0 0 0 0 0 1 1.1748672081527 NonS
7-368403 EC 0 0 1 0 0 0 0 0 0 1 12.128296155494 NonS
7-369383 EC 0 0 1 0 0 0 0 0 0 1 1.47506304593846 NonS
7-369922 CC 1 0 0 0 0 0 0 0 0 1 1.07403419748622 NonS
7-372028 CC 1 0 0 0 0 0 0 0 0 1 178.616725199094 NonS
7-372464 CC 1 0 0 0 0 0 0 0 0 1 1.01131687208557 Sig
7-374553 EC 0 0 1 0 0 0 0 0 0 1 15.4707399778743 Sig
7-375272 CC 1 0 0 0 0 0 0 0 0 1 28.0683425312862 NonS
7-376659 CC 1 0 0 0 0 0 0 0 0 1 1.04011856918477 NonS
7-377598 CC 1 0 0 0 0 0 0 0 0 1 196.478397719003 NonS
7-380083 RRab 0 0 0 0 0 0 0 1 0 1 0.0201048223847047 NonS
7-381623 CC 1 0 0 0 0 0 0 0 0 1 1.48636456755564 NonS
7-401052 LPV 0 0 0 1 0 0 0 0 0 1 65.2926006639997 NonS
7-401266 CC 1 0 0 0 0 0 0 0 0 1 1.00295251515571 NonS
7-407296 RRab 0 0 0 0 0 0 0 1 0 1 0.0201495639133426 Sig
7-421728 CC 1 0 0 0 0 0 0 0 0 1 26.1971196958671 NonS
7-427822 RRab 0 0 0 0 0 0 0 1 0 1 0.0303095146425711 NonS
7-432970 RRab 0 0 0 0 0 0 0 1 0 1 0.0227047877165643 NonS
7-435789 RRab 0 0 0 0 0 0 0 1 0 1 0.0720757144970665 NonS
7-442806 EC 0 0 1 0 0 0 0 0 0 1 1.50673617882671 NonS
7-455293 CC 1 0 0 0 0 0 0 0 0 1 1.38416657168574 Sig
7-460229 EC 0 0 1 0 0 0 0 0 0 1 3.61173525218756 NonS
7-464005 CC 1 0 0 0 0 0 0 0 0 1 16.4230226346854 NonS
7-464623 CC 1 0 0 0 0 0 0 0 0 1 1.07462923028261 NonS
7-466521 RRab 0 0 0 0 0 0 0 1 0 1 0.0715257111493829 NonS
7-470907 RRab 0 0 0 0 0 0 0 1 0 1 0.0383120077438534 NonS
7-472571 EC 0 0 1 0 0 0 0 0 0 1 1.06831861549072 NonS
7-474447 RRab 0 0 0 0 0 0 0 1 0 1 0.314365436350405 NonS
7-474584 EC 0 0 1 0 0 0 0 0 0 1 1.00244080468879 NonS
7-476347 RRab 0 0 0 0 0 0 0 1 0 1 2.91235902821675 NonS
7-487783 CC 1 0 0 0 0 0 0 0 0 1 5.47293586961012 NonS
7-496342 RRab 0 0 0 0 0 0 0 1 0 1 0.0280583217021069 NonS
7-496713 CC 1 0 0 0 0 0 0 0 0 1 20.2555049194849 NonS
7-501102 RRab 0 0 0 0 0 0 0 1 0 1 0.0224374933158614 NonS
7-504914 CC 1 0 0 0 0 0 0 0 0 1 1.00551892384341 NonS
7-506905 EC 0 0 1 0 0 0 0 0 0 1 47.9215604192691 NonS
7-507344 EC 0 0 1 0 0 0 0 0 0 1 1.54509480461848 NonS
7-509211 EC 0 0 1 0 0 0 0 0 0 1 1.17856679898916 NonS
7-510030 EC 0 0 1 0 0 0 0 0 0 1 1.73874688246906 NonS
7-518898 RRab 0 0 0 0 0 0 0 1 0 1 0.0229045766415526 NonS
7-523271 EC 0 0 1 0 0 0 0 0 0 1 7.81607465692358 NonS
7-527403 LPV 0 0 0 1 0 0 0 0 0 1 218.309330798892 NonS
7-552788 EC 0 0 1 0 0 0 0 0 0 1 1.06492356487265 NonS
7-555052 EC 0 0 1 0 0 0 0 0 0 1 3.64606345988744 NonS
7-556753 EC 0 0 1 0 0 0 0 0 0 1 2.17103201899451 NonS
7-557938 CC 1 0 0 0 0 0 0 0 0 1 3.23528088413523 NonS
7-559057 EC 0 0 1 0 0 0 0 0 0 1 4.09329995247923 NonS
7-562261 CC 1 0 0 0 0 0 0 0 0 1 12.0538894306137 NonS
7-562441 EC 0 0 1 0 0 0 0 0 0 1 1.00039917372201 NonS
7-564723 LPV 0 0 0 1 0 0 0 0 0 1 34.4698943366672 NonS
7-565321 CC 1 0 0 0 0 0 0 0 0 1 2.81891531878053 NonS
7-565384 CC 1 0 0 0 0 0 0 0 0 1 1.0512487839433 NonS
7-582737 CC 1 0 0 0 0 0 0 0 0 1 28.8938820175005 NonS
7-582838 EC 0 0 1 0 0 0 0 0 0 1 4.68922190260151 NonS
7-583404 RRab 0 0 0 0 0 0 0 1 0 1 0.0293606296745324 NonS
7-589595 CC 1 0 0 0 0 0 0 0 0 1 70.1708563282154 NonS
7-590534 CC 1 0 0 0 0 0 0 0 0 1 1.17230547565038 NonS
7-592915 CC 1 0 0 0 0 0 0 0 0 1 1.08073926138066 NonS
7-595586 LPV 0 0 0 1 0 0 0 0 0 1 99.4881769938466 NonS
7-596256 CC 1 0 0 0 0 0 0 0 0 1 1.06261978214712 NonS
7-599611 RRab 0 0 0 0 0 0 0 1 0 1 0.0342091975829417 NonS
7-599763 typeIICep 0 0 0 0 0 0 0 0 1 1 1.00348262476754 NonS
7-602916 CC 1 0 0 0 0 0 0 0 0 1 2.90648517335804 NonS
7-606222 CC 1 0 0 0 0 0 0 0 0 1 1.27417897353439 NonS
7-610220 RRab 0 0 0 0 0 0 0 1 0 1 0.0530126901128367 NonS
7-615265 CC 1 0 0 0 0 0 0 0 0 1 6.6886405540004 NonS
7-615635 RRab 0 0 0 0 0 0 0 1 0 1 0.0293848408999487 NonS
7-616760 RRab 0 0 0 0 0 0 0 1 0 1 0.0643840897309203 OverS
7-619449 EC 0 0 1 0 0 0 0 0 0 1 1.46298136797471 NonS
7-623442 RRab 0 0 0 0 0 0 0 1 0 1 0.104967623527622 NonS
7-627606 CC 1 0 0 0 0 0 0 0 0 1 182.896146972012 NonS
7-628159 CC 1 0 0 0 0 0 0 0 0 1 1.04621085047393 NonS
7-628640 CC 1 0 0 0 0 0 0 0 0 1 22.8463253161632 NonS
7-631166 CC 1 0 0 0 0 0 0 0 0 1 13.0640104980008 NonS
7-632105 CC 1 0 0 0 0 0 0 0 0 1 18.192444233241 NonS
7-633368 RRab 0 0 0 0 0 0 0 1 0 1 0.0483246587926123 NonS
7-639450 CC 1 0 0 0 0 0 0 0 0 1 8.59880837221753 NonS
7-640444 RRab 0 0 0 0 0 0 0 1 0 1 0.0237907632914784 NonS
7-643969 CC 1 0 0 0 0 0 0 0 0 1 1.49299694315352 NonS
7-644765 CC 1 0 0 0 0 0 0 0 0 1 26.1971196958671 NonS
7-646223 EC 0 0 1 0 0 0 0 0 0 1 8.65543602286358 NonS
7-647206 CC 1 0 0 0 0 0 0 0 0 1 1.00141894861877 Sig
7-650555 CC 1 0 0 0 0 0 0 0 0 1 1.01131687208557 NonS
7-651069 RRab 0 0 0 0 0 0 0 1 0 1 0.0432476497807672 NonS
7-651366 CC 1 0 0 0 0 0 0 0 0 1 115.575528070002 Sig
7-651716 CC 1 0 0 0 0 0 0 0 0 1 152.41345581001 NonS
7-651815 CC 1 0 0 0 0 0 0 0 0 1 1.08431786820642 NonS
7-651918 CC 1 0 0 0 0 0 0 0 0 1 1.270060748022 NonS
7-652508 EC 0 0 1 0 0 0 0 0 0 1 1.60259704501634 NonS
7-653478 CC 1 0 0 0 0 0 0 0 0 1 1.51486813969933 NonS
7-653479 CC 1 0 0 0 0 0 0 0 0 1 1.02814441506543 NonS
7-654027 CC 1 0 0 0 0 0 0 0 0 1 4.14511387592834 NonS
7-654340 RRab 0 0 0 0 0 0 0 1 0 1 0.0216238248903836 NonS
7-654980 EC 0 0 1 0 0 0 0 0 0 1 1.37205584999304 NonS
7-655146 LPV 0 0 0 1 0 0 0 0 0 1 193.194086505007 NonS
7-655556 RRab 0 0 0 0 0 0 0 1 0 1 0.023528938113766 NonS
7-658955 EC 0 0 1 0 0 0 0 0 0 1 2.43046472360159 NonS
7-661207 RRab 0 0 0 0 0 0 0 1 0 1 0.100949698257721 NonS
7-663329 RRab 0 0 0 0 0 0 0 1 0 1 0.0297717096323969 NonS
7-671882 CC 1 0 0 0 0 0 0 0 0 1 1.00192961610914 NonS
7-682916 RRab 0 0 0 0 0 0 0 1 0 1 0.144277591999218 Sig
7-684838 EC 0 0 1 0 0 0 0 0 0 1 12.128296155494 NonS
7-686131 CC 1 0 0 0 0 0 0 0 0 1 1.17503180559088 NonS
7-689320 CC 1 0 0 0 0 0 0 0 0 1 96.9306210446792 OverS
7-695579 EC 0 0 1 0 0 0 0 0 0 1 6.19805671037865 Sig
7-709226 LPV 0 0 0 1 0 0 0 0 0 1 25.1769597535103 NonS
7-709561 CC 1 0 0 0 0 0 0 0 0 1 1.47285155711397 NonS
7-718401 RRab 0 0 0 0 0 0 0 1 0 1 0.0273525454510346 NonS
7-720728 CC 1 0 0 0 0 0 0 0 0 1 140.341712656431 NonS
7-721317 RRab 0 0 0 0 0 0 0 1 0 1 0.0306422953398321 NonS
7-723720 CC 1 0 0 0 0 0 0 0 0 1 1.4278953322602 NonS
7-724456 RRab 0 0 0 0 0 0 0 1 0 1 0.0307372944817117 OverS
7-725996 CC 1 0 0 0 0 0 0 0 0 1 3.06041117942373 NonS
7-728578 RRab 0 0 0 0 0 0 0 1 0 1 0.0430181924386141 NonS
7-731654 RRab 0 0 0 0 0 0 0 1 0 1 0.0436851649143995 NonS
7-732689 EC 0 0 1 0 0 0 0 0 0 1 13.5502343254485 Sig
7-734970 CC 1 0 0 0 0 0 0 0 0 1 2.85994756505099 NonS
7-735396 LPV 0 0 0 1 0 0 0 0 0 1 245.597997148754 NonS
7-737016 LPV 0 0 0 1 0 0 0 0 0 1 33.3014233422039 Sig
7-738508 CC 1 0 0 0 0 0 0 0 0 1 1.00090880142131 NonS
7-740202 CC 1 0 0 0 0 0 0 0 0 1 10.0758152676412 Sig
7-740540 RRab 0 0 0 0 0 0 0 1 0 1 0.0480704616052169 NonS
7-742723 RRab 0 0 0 0 0 0 0 1 0 1 0.0256602709147556 NonS
7-742732 EC 0 0 1 0 0 0 0 0 0 1 1.40473231161299 NonS
7-742943 EC 0 0 1 0 0 0 0 0 0 1 1.13108316000007 NonS
7-742979 RRab 0 0 0 0 0 0 0 1 0 1 0.030077311747674 NonS
9-44370 RRab 0 0 0 0 0 0 0 1 0 1 0.0251059881191762 NonS
9-62410 RRab 0 0 0 0 0 0 0 1 0 1 0.0504761458494549 NonS
9-180187 CC 1 0 0 0 0 0 0 0 0 1 3.16110588013175 NonS
9-196162 EC 0 0 1 0 0 0 0 0 0 1 1.07509230108518 NonS
9-242467 EC 0 0 1 0 0 0 0 0 0 1 1.36898313601805 NonS
9-259801 LPV 0 0 0 1 0 0 0 0 0 1 196.381549667008 NonS
9-299585 LPV 0 0 0 1 0 0 0 0 0 1 178.616725199094 NonS
9-314606 RCorB 0 0 0 0 0 0 1 0 0 1 0 FALSE
9-316577 LPV 0 0 0 1 0 0 0 0 0 1 51.5477417839957 NonS
9-355039 RRab 0 0 0 0 0 0 0 1 0 1 0.0288583356234415 OverS
9-407193 RRab 0 0 0 0 0 0 0 1 0 1 0.0277723717575149 OverS
9-670554 CC 1 0 0 0 0 0 0 0 0 1 4.83936940194589 NonS
9-679394 RRab 0 0 0 0 0 0 0 1 0 1 0.0833487094132161 OverS
9-695945 LPV 0 0 0 1 0 0 0 0 0 1 34.8841714884301 NonS
9-696644 LPV 0 0 0 1 0 0 0 0 0 1 245.597997148754 Sig
9-701657 CC 1 0 0 0 0 0 0 0 0 1 1.01103453273638 NonS
45-14815 EC 0 0 1 0 0 0 0 0 0 1 17.7835686340473 NonS
45-20448 RRab 0 0 0 0 0 0 0 1 0 1 0.0356444911596883 Sig
45-25212 EC 0 0 1 0 0 0 0 0 0 1 23.9469846995076 NonS
45-51133 EC 0 0 1 0 0 0 0 0 0 1 7.51823938240355 NonS
45-60629 RRab 0 0 0 0 0 0 0 1 0 1 0.0230744069834072 NonS
45-77414 CC 1 0 0 0 0 0 0 0 0 1 2.66896330561828 NonS
45-90233 CC 1 0 0 0 0 0 0 0 0 1 2.82755941787189 NonS
45-94215 EC 0 0 1 0 0 0 0 0 0 1 2.36254154915601 NonS
45-102450 CC 1 0 0 0 0 0 0 0 0 1 1.54844917520048 NonS
45-103677 CC 1 0 0 0 0 0 0 0 0 1 2.70619522692025 NonS
45-149726 EC 0 0 1 0 0 0 0 0 0 1 1.66999979304898 NonS
45-170019 CC 1 0 0 0 0 0 0 0 0 1 1.57182718175203 NonS
45-183955 CC 1 0 0 0 0 0 0 0 0 1 1.20105619855116 NonS
45-192763 EC 0 0 1 0 0 0 0 0 0 1 11.0653315945184 NonS
45-196840 EC 0 0 1 0 0 0 0 0 0 1 62.2424902191657 NonS
45-202638 EC 0 0 1 0 0 0 0 0 0 1 10.6701411804284 NonS
45-206716 EC 0 0 1 0 0 0 0 0 0 1 5.87789624442459 NonS
45-211935 RRab 0 0 0 0 0 0 0 1 0 1 0.0399172223904137 NonS
45-245639 EC 0 0 1 0 0 0 0 0 0 1 11.0653315945184 NonS
45-258829 CC 1 0 0 0 0 0 0 0 0 1 1.05944664202835 NonS
45-260321 CC 1 0 0 0 0 0 0 0 0 1 1.3173013802998 NonS
45-265731 CC 1 0 0 0 0 0 0 0 0 1 8.63479633098253 NonS
45-268283 EC 0 0 1 0 0 0 0 0 0 1 1.53843436175075 NonS
45-269299 CC 1 0 0 0 0 0 0 0 0 1 2.93481289834966 NonS
45-271600 CC 1 0 0 0 0 0 0 0 0 1 1.114790869597 NonS
45-277092 CC 1 0 0 0 0 0 0 0 0 1 3.61699701031472 NonS
45-281342 CC 1 0 0 0 0 0 0 0 0 1 2.62073643028066 NonS
45-291913 CC 1 0 0 0 0 0 0 0 0 1 1.96013062594812 NonS
45-304560 RRab 0 0 0 0 0 0 0 1 0 1 0.0940574087180442 NonS
45-308790 EC 0 0 1 0 0 0 0 0 0 1 1.09839688622057 NonS
45-313520 CC 1 0 0 0 0 0 0 0 0 1 19.3970576066012 NonS
45-318354 CC 1 0 0 0 0 0 0 0 0 1 1.96039339272963 NonS
45-323876 CC 1 0 0 0 0 0 0 0 0 1 5.02514445766869 NonS
45-328592 CC 1 0 0 0 0 0 0 0 0 1 1.95985289464626 NonS
45-344740 CC 1 0 0 0 0 0 0 0 0 1 6.22424902191657 NonS
45-345559 CC 1 0 0 0 0 0 0 0 0 1 1.45596468348926 NonS
45-346669 CC 1 0 0 0 0 0 0 0 0 1 1.32313531023913 NonS
45-353323 CC 1 0 0 0 0 0 0 0 0 1 1.41059467918789 NonS
45-359102 LPV 0 0 0 1 0 0 0 0 0 1 164.015542039986 NonS
45-361373 CC 1 0 0 0 0 0 0 0 0 1 1.37918944371204 NonS
45-387907 CC 1 0 0 0 0 0 0 0 0 1 1.22444243054097 NonS
45-391010 CC 1 0 0 0 0 0 0 0 0 1 1.93970576066012 NonS
45-404121 CC 1 0 0 0 0 0 0 0 0 1 4.08503897077434 NonS
45-418052 EC 0 0 1 0 0 0 0 0 0 1 2.08795022676008 NonS
45-450660 CC 1 0 0 0 0 0 0 0 0 1 2.62073643028066 NonS
45-456660 EC 0 0 1 0 0 0 0 0 0 1 1.06473254829649 NonS
45-460634 EC 0 0 1 0 0 0 0 0 0 1 1.41460205043558 NonS
45-461707 CC 1 0 0 0 0 0 0 0 0 1 1.09277232279442 NonS
45-464683 CC 1 0 0 0 0 0 0 0 0 1 3.63059415756585 NonS
45-480433 RRab 0 0 0 0 0 0 0 1 0 1 0.0378644050335331 NonS
