HJD mag emag
2455309.7589699 12.304 0.01
2455818.52390016 12.251 0.01
2456160.60001347 12.254 0.01
2456484.58745569 12.218 0.01
2456133.71639878 12.254 0.01
2456477.63061378 12.245 0.01
2456089.7007663 12.245 0.01
2456115.61282453 12.253 0.01
2455434.65834223 12.238 0.01
2456109.64102519 12.22 0.01
2456161.56627288 12.243 0.01
2456020.7677059 12.231 0.01
2456094.67810458 12.242 0.01
2456480.70307838 12.26 0.01
2456476.55561724 12.22 0.01
2455328.75649563 12.25 0.01
2456129.67719471 12.246 0.01
2456477.52743466 12.222 0.01
2456511.61833425 12.253 0.01
2456476.61999909 12.183 0.01
2456742.84715366 12.205 0.01
2456102.58549545 12.22 0.01
2456102.73475181 12.209 0.01
2456127.58678205 12.218 0.01
2456005.8355524 12.221 0.01
2456526.60220779 12.229 0.01
2457229.55223349 12.199 0.01
2456510.61628162 12.232 0.01
2457229.74547919 12.25 0.01
2456114.62605421 12.199 0.01
2456464.77626912 12.201 0.01
2455829.59314994 12.219 0.01
2456512.63053775 12.214 0.01
2455844.54941545 12.223 0.01
2456734.80947703 12.156 0.01
2456538.59069138 12.207 0.01
2456789.68879582 12.184 0.01
2456477.57984695 12.166 0.01
2456095.63274054 12.153 0.01
2456106.7700705 12.223 0.01
2456162.64197332 12.139 0.01
2456536.5384378 12.148 0.01
2456537.6098039 12.17 0.01
2456745.89754341 12.16 0.01
2456132.64440217 12.173 0.01
2456790.65793362 12.177 0.01
2456113.58834037 12.138 0.01
2456125.72347952 12.171 0.01
2455794.69893252 12.155 0.01
2456806.71366909 12.149 0.01
2455858.51018585 12.159 0.01
2456573.49646966 12.12 0.01
2456804.7066316 12.2 0.01
2457225.505621 12.136 0.01
