HJD mag emag
2455309.7589699 16.178 0.129
2456160.60001347 16.029 0.117
2456484.58745569 16.162 0.138
2456133.71639878 16.058 0.123
2456477.63061378 16.174 0.134
2456115.61282453 16.088 0.126
2455434.65834223 16.008 0.123
2456109.64102519 16.14 0.136
2456161.56627288 16.073 0.128
2456094.67810458 16.085 0.13
2456480.70307838 16.269 0.148
2455328.75649563 16.171 0.143
2456129.67719471 16.052 0.126
2456477.52743466 16.066 0.128
2456511.61833425 16.055 0.13
2456742.84715366 16.058 0.129
2456102.58549545 16.03 0.127
2456102.73475181 16.018 0.123
2456127.58678205 16.022 0.127
2456526.60220779 16.063 0.132
2457229.55223349 16.094 0.141
2456510.61628162 15.998 0.128
2455844.54941545 16.055 0.135
2456477.57984695 16.12 0.14
2456095.63274054 16.123 0.138
2456106.7700705 16.063 0.133
