HJD mag emag
2455309.7589699 14.153 0.022
2455818.52390016 14.077 0.023
2456160.60001347 14.139 0.022
2456484.58745569 14.141 0.023
2456133.71639878 14.133 0.023
2456477.63061378 14.144 0.023
2456089.7007663 14.12 0.022
2456115.61282453 14.154 0.023
2455434.65834223 14.079 0.022
2456109.64102519 14.118 0.023
2456161.56627288 14.146 0.023
2456020.7677059 14.094 0.023
2456094.67810458 14.133 0.024
2456480.70307838 14.12 0.023
2456476.55561724 14.136 0.024
2456129.67719471 14.108 0.023
2456477.52743466 14.077 0.022
2456511.61833425 14.142 0.024
2456476.61999909 14.15 0.024
2456742.84715366 14.115 0.023
2456102.58549545 14.1 0.023
2456102.73475181 14.087 0.023
2456005.8355524 14.093 0.024
2456526.60220779 14.118 0.024
2457229.74547919 14.014 0.023
2456114.62605421 14.036 0.022
2455844.54941545 14.095 0.024
2456734.80947703 14.073 0.024
2456477.57984695 14.066 0.024
2456479.56274835 14.047 0.023
2456804.7066316 14.024 0.042
