HJD mag emag
2455309.7589699 16.145 0.129
2455818.52390016 16.033 0.129
2456484.58745569 16.167 0.143
2456133.71639878 15.586 0.084
2456477.63061378 16.07 0.125
2456115.61282453 16.337 0.161
2456109.64102519 16.309 0.162
2456020.7677059 16.379 0.174
2456094.67810458 16.164 0.141
2456476.55561724 16.099 0.136
2456477.52743466 16.173 0.142
2456476.61999909 16.408 0.175
2456742.84715366 15.92 0.116
2456102.58549545 16.17 0.145
2456127.58678205 16.22 0.153
2456005.8355524 16.312 0.164
2456114.62605421 16.129 0.139
2455829.59314994 16.203 0.16
2456512.63053775 15.938 0.122
2455844.54941545 16.177 0.154
2456734.80947703 16.269 0.167
2456789.68879582 16.146 0.154
2456477.57984695 16.093 0.142
2456095.63274054 16.071 0.147
2456745.89754341 16.07 0.142
2456790.65793362 16.098 0.15
2456479.56274835 16.055 0.14
2456113.58834037 16.097 0.149
2455794.69893252 16.132 0.158
2456806.71366909 16.435 0.2
2456144.6836307 15.718 0.111
2456804.7066316 16.526 0.348
2457225.505621 16.171 0.167
2456510.48315386 16.366 0.204
