HJD mag emag
2455309.7589699 16.339 0.151
2455818.52390016 16.25 0.155
2456160.60001347 16.212 0.141
2456484.58745569 16.259 0.154
2456133.71639878 16.478 0.182
2456477.63061378 16.119 0.133
2456089.7007663 16.404 0.17
2456115.61282453 16.375 0.165
2455434.65834223 16.216 0.148
2456109.64102519 16.168 0.145
2456161.56627288 16.28 0.155
2456020.7677059 15.91 0.116
2456094.67810458 16.102 0.136
2456480.70307838 16.578 0.201
2456476.55561724 16.663 0.224
2455328.75649563 16.528 0.194
2456129.67719471 16.065 0.129
2456511.61833425 16.708 0.231
2456476.61999909 16.946 0.275
2456742.84715366 16.465 0.185
2456102.58549545 16.404 0.178
2456102.73475181 16.53 0.196
2456127.58678205 16.105 0.139
2456005.8355524 16.36 0.175
2456526.60220779 16.433 0.184
2457229.55223349 16.366 0.181
2456510.61628162 16.579 0.213
2457229.74547919 16.058 0.143
2456114.62605421 16.291 0.158
2456464.77626912 16.859 0.259
2455829.59314994 16.178 0.157
2456512.63053775 16.157 0.148
2455844.54941545 16.119 0.143
2456734.80947703 16.117 0.147
2456538.59069138 16.904 0.277
2456789.68879582 16.424 0.192
2456477.57984695 16.807 0.263
2456095.63274054 16.61 0.245
2456162.64197332 16.572 0.213
2456536.5384378 16.403 0.189
2456537.6098039 16.755 0.253
2456745.89754341 16.873 0.281
2456132.64440217 16.317 0.17
2456790.65793362 16.261 0.169
2456479.56274835 16.666 0.23
2456113.58834037 16.309 0.177
2456125.72347952 17.166 0.357
2455794.69893252 16.557 0.228
2455858.51018585 16.223 0.167
2456144.6836307 16.855 0.297
2456573.49646966 17.037 0.338
2457225.505621 16.618 0.245
2457242.60842835 16.52 0.274
2456479.79998416 16.3 0.206
