idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-1209 CC 1 0 0 0 0 0 0 0 0 1 2.2713174290178 OverS
1-1367 CC 1 0 0 0 0 0 0 0 0 1 1.26325291070875 NonS
1-1400 CC 1 0 0 0 0 0 0 0 0 1 2.10954268336126 NonS
1-1421 EC 0 0 1 0 0 0 0 0 0 1 1.01438123905425 NonS
1-1546 CC 1 0 0 0 0 0 0 0 0 1 3.3321080591871 OverS
1-1625 RRab 0 0 0 0 0 0 0 1 0 1 0.346839259650261 NonS
1-1773 EC 0 0 1 0 0 0 0 0 0 1 1.1837274792886 NonS
1-1780 EC 0 0 1 0 0 0 0 0 0 1 7.43403637865379 NonS
1-1782 CC 1 0 0 0 0 0 0 0 0 1 7.10959689856258 NonS
1-1839 RRab 0 0 0 0 0 0 0 1 0 1 0.0577335370847243 NonS
1-1865 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-1925 CC 1 0 0 0 0 0 0 0 0 1 5.07190619527124 NonS
1-2071 EC 0 0 1 0 0 0 0 0 0 1 50.353945849738 NonS
1-2090 EC 0 0 1 0 0 0 0 0 0 1 1.06151561521069 NonS
1-2129 EC 0 0 1 0 0 0 0 0 0 1 1.1837274792886 NonS
1-2131 CC 1 0 0 0 0 0 0 0 0 1 22.8569822534475 NonS
1-2216 EC 0 0 1 0 0 0 0 0 0 1 1.18159078708771 NonS
1-2265 EC 0 0 1 0 0 0 0 0 0 1 59.5092087315085 NonS
1-2411 CC 1 0 0 0 0 0 0 0 0 1 2.89930235977839 NonS
1-2610 CC 1 0 0 0 0 0 0 0 0 1 29.7546043657543 NonS
1-2693 EC 0 0 1 0 0 0 0 0 0 1 2.77765755040987 NonS
1-2712 CC 1 0 0 0 0 0 0 0 0 1 11.0981879149687 NonS
1-2729 EC 0 0 1 0 0 0 0 0 0 1 1.03306720924735 NonS
1-2803 RRab 0 0 0 0 0 0 0 1 0 1 0.0213685602752289 NonS
1-2851 EC 0 0 1 0 0 0 0 0 0 1 1.11460970901191 NonS
1-2854 CC 1 0 0 0 0 0 0 0 0 1 25.8395248439445 NonS
1-2921 CC 1 0 0 0 0 0 0 0 0 1 1.46152471896498 OverS
1-2933 EC 0 0 1 0 0 0 0 0 0 1 3.60330988649501 NonS
1-2938 CC 1 0 0 0 0 0 0 0 0 1 1.02068809154874 NonS
1-3012 CC 1 0 0 0 0 0 0 0 0 1 2.28003950545126 NonS
1-3021 EC 0 0 1 0 0 0 0 0 0 1 2.06716198751556 NonS
1-3168 CC 1 0 0 0 0 0 0 0 0 1 1.84741663983046 NonS
1-3294 CC 1 0 0 0 0 0 0 0 0 1 39.2760777627956 NonS
1-3401 CC 1 0 0 0 0 0 0 0 0 1 13.8227302645773 NonS
1-3696 CC 1 0 0 0 0 0 0 0 0 1 1.00565388349396 NonS
1-3722 EC 0 0 1 0 0 0 0 0 0 1 7.1375552638908 NonS
1-3775 EC 0 0 1 0 0 0 0 0 0 1 2.51967612011549 NonS
1-3966 EC 0 0 1 0 0 0 0 0 0 1 1.0060470738421 NonS
1-3996 EC 0 0 1 0 0 0 0 0 0 1 1.95793009784624 NonS
1-3999 EC 0 0 1 0 0 0 0 0 0 1 1.97169065074275 NonS
1-4083 EC 0 0 1 0 0 0 0 0 0 1 1.01909905975079 NonS
1-4085 CC 1 0 0 0 0 0 0 0 0 1 1.00145710150754 NonS
1-4089 EC 0 0 1 0 0 0 0 0 0 1 1.01254918965715 NonS
1-4117 CC 1 0 0 0 0 0 0 0 0 1 4.67798343496834 NonS
1-4239 EC 0 0 1 0 0 0 0 0 0 1 1.12281525908507 NonS
1-4261 RRab 0 0 0 0 0 0 0 1 0 1 0.0376079405804784 NonS
1-4325 CC 1 0 0 0 0 0 0 0 0 1 147.691269945353 NonS
1-4431 EC 0 0 1 0 0 0 0 0 0 1 1.80241294542697 NonS
